Time,Metric,Group
0 months,82.48357076505616,Control
0 months,79.30867849414408,Control
0 months,83.23844269050346,Control
0 months,87.61514928204012,Control
0 months,78.82923312638331,Control
0 months,78.8293152152541,Control
0 months,87.89606407753696,Control
0 months,83.83717364576455,Control
0 months,77.65262807032524,Control
0 months,82.71280021792982,Control
0 months,77.68291153593769,Control
0 months,77.67135123214871,Control
0 months,81.20981135783018,Control
0 months,70.43359877671101,Control
0 months,71.37541083743484,Control
0 months,77.18856235379513,Control
0 months,74.93584439832789,Control
0 months,81.57123666297637,Control
0 months,75.45987962239394,Control
0 months,72.93848149332354,Control
0 months,87.32824384460777,Control
0 months,78.87111849756732,Control
0 months,80.33764102343962,Control
0 months,72.87625906893271,Control
0 months,77.27808637737408,Control
0 months,80.55461294854933,Control
0 months,74.24503211288848,Control
0 months,81.87849009172837,Control
0 months,76.99680655040598,Control
0 months,78.54153125103362,Control
9 months,76.99146693885301,Control
9 months,89.26139092254469,Control
9 months,79.93251387631032,Control
9 months,74.71144535522049,Control
9 months,84.11272456051594,Control
9 months,73.89578175014489,Control
9 months,81.04431797502377,Control
9 months,70.20164938060113,Control
9 months,73.35906975550785,Control
9 months,80.98430617934562,Control
9 months,83.69233289997705,Control
9 months,80.85684140594985,Control
9 months,79.4217585880588,Control
9 months,78.49448152205356,Control
9 months,72.60739004816287,Control
9 months,76.40077895802645,Control
9 months,77.69680614520107,Control
9 months,85.28561113109458,Control
9 months,81.71809144784231,Control
9 months,71.18479922318633,Control
9 months,81.62041984697397,Control
9 months,78.07458859791842,Control
9 months,76.6153899984702,Control
9 months,83.05838144420434,Control
9 months,85.15499761247976,Control
9 months,84.65640059558099,Control
9 months,75.80391238388681,Control
9 months,78.45393812074393,Control
9 months,81.65631715701782,Control
9 months,84.8777256356118,Control
24 months,77.60412881077355,Control
24 months,79.07170511668092,Control
24 months,74.46832512996986,Control
24 months,74.01896687959665,Control
24 months,84.06262911197099,Control
24 months,86.78120014285412,Control
24 months,79.63994939209833,Control
24 months,85.01766448946012,Control
24 months,81.80818012523817,Control
24 months,76.77440122697438,Control
24 months,81.80697802754207,Control
24 months,87.69018283232984,Control
24 months,79.82086980445024,Control
24 months,87.82321827907003,Control
24 months,66.90127447955128,Control
24 months,84.10951252187611,Control
24 months,80.43523534119086,Control
24 months,78.50496324767066,Control
24 months,80.45880388267751,Control
24 months,70.06215542699553,Control
24 months,78.90164056081244,Control
24 months,81.78556285755873,Control
24 months,87.38947022370758,Control
24 months,77.40864890863176,Control
24 months,75.95753198553406,Control
24 months,77.49121478207732,Control
24 months,84.57701058851038,Control
24 months,81.64375554829843,Control
24 months,77.3511989811648,Control
24 months,82.56633716556678,Control
0 months,80.4853877467402,Treatment
0 months,84.84322495266444,Treatment
0 months,76.48973453061323,Treatment
0 months,78.36168926701116,Treatment
0 months,78.0394592343392,Treatment
0 months,72.68242525933941,Treatment
0 months,81.48060138532288,Treatment
0 months,81.30527636089944,Treatment
0 months,80.02556728321231,Treatment
0 months,78.82706433312427,Treatment
0 months,72.92314628974793,Treatment
0 months,77.89677338617321,Treatment
0 months,78.28642741736616,Treatment
0 months,75.9886136538919,Treatment
0 months,79.19357144166996,Treatment
0 months,82.02025428407269,Treatment
0 months,89.43092950605265,Treatment
0 months,80.8728890641592,Treatment
0 months,81.28775195361382,Treatment
0 months,79.62777042116916,Treatment
0 months,70.4061439235048,Treatment
0 months,79.86743062275391,Treatment
0 months,80.30115104970513,Treatment
0 months,92.31621056242643,Treatment
0 months,79.03819517609439,Treatment
0 months,81.50773671166806,Treatment
0 months,79.82644115147379,Treatment
0 months,74.15660981190234,Treatment
0 months,85.7141140725751,Treatment
0 months,83.75966516343387,Treatment
9 months,78.95515973521523,Treatment
9 months,70.4530627260263,Treatment
9 months,82.0139715546805,Treatment
9 months,67.9907446860386,Treatment
9 months,77.93428546900135,Treatment
9 months,85.95227812904989,Treatment
9 months,70.04731837434656,Treatment
9 months,72.16851135198614,Treatment
9 months,75.4982568254382,Treatment
9 months,72.48262172941901,Treatment
9 months,67.24668284466934,Treatment
9 months,75.34281487403014,Treatment
9 months,69.68848143136948,Treatment
9 months,77.36796215317591,Treatment
9 months,70.40287882883098,Treatment
9 months,82.7496720250877,Treatment
9 months,71.08373353831881,Treatment
9 months,73.38969241897162,Treatment
9 months,79.06758608684835,Treatment
9 months,68.84567841783023,Treatment
9 months,76.13729967302065,Treatment
9 months,81.53571377141213,Treatment
9 months,66.96258382719387,Treatment
9 months,75.92316929266153,Treatment
9 months,76.29941397124212,Treatment
9 months,78.90911435888655,Treatment
9 months,68.81524644560959,Treatment
9 months,68.39771693457863,Treatment
9 months,77.60970782808448,Treatment
9 months,76.48492336616593,Treatment
24 months,71.25246425172938,Treatment
24 months,71.73224104748488,Treatment
24 months,66.59987639210755,Treatment
24 months,71.16126848580502,Treatment
24 months,71.46536236649341,Treatment
24 months,66.42824290986816,Treatment
24 months,79.32887255572378,Treatment
24 months,72.36916460455893,Treatment
24 months,64.04348251398676,Treatment
24 months,73.28276804316914,Treatment
24 months,65.1265916488634,Treatment
24 months,73.93542301871226,Treatment
24 months,75.79297789503703,Treatment
24 months,65.89658840824144,Treatment
24 months,74.8168806462216,Treatment
24 months,72.06390463468249,Treatment
24 months,74.11030079997245,Treatment
24 months,79.48396491326974,Treatment
24 months,68.77305941998564,Treatment
24 months,66.23131917821256,Treatment
24 months,65.55242785187238,Treatment
24 months,65.92094857517282,Treatment
24 months,69.61449145292949,Treatment
24 months,71.70575987408321,Treatment
24 months,71.38345399665009,Treatment
24 months,74.13591624518011,Treatment
24 months,70.06500945938953,Treatment
24 months,77.26767038578659,Treatment
24 months,68.67671583381022,Treatment
24 months,83.6008458329481,Treatment
